u,v,length
42421728,42432736,86.258
42421728,42435337,85.345
42421728,42421731,138.033
42421731,42437916,86.149
42421731,42432737,85.611
42421731,42421728,138.033
42421731,42421737,134.771
42421737,42421731,134.771
42421737,42437917,85.991
42421737,42421741,271.351
42421741,42432756,86.109
42421741,1061531654,199.796
42421741,42421737,271.351
42421745,1061531654,22.088
42421745,42421749,55.925
42421745,42428751,93.403
42421749,42421751,142.26
42421749,42421745,55.925
42421749,42431118,85.583
42421751,42432764,85.181
42421751,42421749,142.26
42421769,42443347,86.01
42421772,42421769,271.702
42421772,42442469,81.618
42421775,1061531525,17.096
42421775,42428653,86.209
42421776,42421775,105.433
42421776,42431024,80.922
42421776,42431019,86.554
42421778,42421776,127.993
42421778,42422592,87.48
42421778,42441587,82.185
42421783,42443522,267.007
42421783,42427782,249
42421783,42429174,153.184
42421783,8904913030,29.606
42421785,42421786,239.745
42421785,42443520,201.183
42421786,42421791,127.585
42421791,4814440062,215.274
42421791,42448930,90.62
42421800,42424851,80.763
42421800,42435308,80.571
42421803,42437300,80.824
42421803,42421800,273.333
42421806,42421803,271.734
42421806,42442475,81.107
42421809,1061531683,16.91
42421809,42428663,80.136
42421810,42421809,109.255
42421810,42431030,80.699
42421810,42431034,80.275
42421820,42421810,215.284
42421820,42437312,89.457
42421820,42441569,88.052
42421828,42430942,101.45
42421828,42430938,127.633
42421852,561035342,263.18
42421852,42442584,96.326
42421852,42438928,171.363
42421857,42421865,83.201
42421857,561035342,22.926
42421857,1506591534,246.774
42421865,42421857,83.201
42421865,42443181,171.551
42421865,1332860731,244.925
42421877,42421889,311.336
42421877,42437949,76.599
42421889,42432191,41.444
42421889,42430241,81.12
42421941,42421960,27.203
42421941,42453902,150.433
42421946,42421941,55.693
42421951,42421946,78.949
42421951,42444223,77.972
42421951,42421965,23.061
42421960,42427956,66.408
42421960,42431898,253.813
42421960,42421965,129.856
42421960,42421941,27.203
42421965,4145794861,162.38
42421969,5706568625,79.923
42421972,1061531777,21.559
42421972,42428570,93.688
42421974,42421972,156.643
42421974,1241742627,79.99
42421982,7050687060,78.784
42421982,2974462027,80.347
42421985,42421982,275.731
42421985,3533937800,99.1
42421985,42430981,79.614
42421985,2061592973,79.185
42421993,42421996,274.107
42421993,42431447,81.183
42421993,7106818627,79.735
42421996,42422000,271.015
42421996,42438043,80
42422000,1061531768,129.93
42422000,42437052,79.952
42422006,42422016,127.523
42422006,42428682,79.182
42422016,42422018,213.477
42422016,42431044,79.781
42422016,42431057,78.857
42422018,42438052,90.335
42422018,42437058,90.475
42422026,889298452,30.164
42422026,246858433,109.314
42422026,42437401,174.009
42422028,246858433,25.311
42422028,42453395,305.121
42422038,42438155,86.882
42422038,42422042,106.89
42422042,42422038,106.89
42422042,42422050,118.832
42422042,42428374,46.185
42422050,42422053,135.9
42422050,42454795,62.526
42422053,6262915548,86.853
42422053,42448583,36.487
42422086,42422110,72.391
42422086,3931524260,56.54
42422110,42422168,80.472
42422168,371225132,358.054
42422258,42430589,85.681
42422270,278608420,341.476
42422270,42451465,866.951
42422283,5378284711,103.25
42422283,42433229,101.191
42422283,4158673495,165.23
42422283,278609934,15.532
42422399,42458435,1005.277
