u,v,key,osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,bridge,ref,tunnel,width,access,junction
42421828,42430942,0,194923763,East 10th Street,tertiary,20 mph,False,True,101.45,"LINESTRING (-73.975164 40.724877, -73.9752662 40.7249208, -73.976212 40.725326)",,,,,,,
42421828,42430938,0,194923763,East 10th Street,tertiary,20 mph,False,False,127.633,"LINESTRING (-73.9775364 40.7258829, -73.9774353 40.7258404, -73.9773671 40.7258117, -73.976212 40.725326)",,,,,,,
42421828,42446584,0,"[25167069, 5668983]","['Szold Place', 'East 12th Street']",residential,20 mph,True,False,255.72299999999996,"LINESTRING (-73.974269 40.726109, -73.9743711 40.7261515, -73.9750235 40.7264234, -73.9752594 40.7265217, -73.9753144 40.7265446, -73.9757383 40.725982, -73.975785 40.72592, -73.9758995 40.7257607, -73.9761264 40.7254451, -73.9761596 40.7253989, -73.976212 40.725326)",,,,,,,
42421877,42421889,0,"[5668989, 1032454983]",West 9th Street,residential,25 mph,True,False,311.336,"LINESTRING (-73.9959291 40.7328569, -73.9960265 40.7328958, -73.9987019 40.7340344, -73.9989395 40.7341355, -73.9990171 40.7341483, -73.9991816 40.7341463)","['1', '2']",,,,,,
42421877,42437949,0,889114527,5th Avenue,secondary,25 mph,True,False,76.599,"LINESTRING (-73.9959291 40.7328569, -73.9959635 40.7328024, -73.9961064 40.7326051, -73.9961811 40.7325019, -73.9963168 40.7323146, -73.9963626 40.7322515)",2,,,,,,
42421877,42430857,0,1027206711,5th Avenue,secondary,25 mph,True,False,74.706,"LINESTRING (-73.9955052 40.7334469, -73.9955464 40.7333902, -73.9958915 40.7329158, -73.9959291 40.7328569)",2,,,,,,
42421877,42449045,0,5671663,East 9th Street,residential,25 mph,True,False,157.594,"LINESTRING (-73.994297 40.732165, -73.9943945 40.7322067, -73.9958197 40.732816, -73.995853 40.7328287, -73.9959291 40.7328569)",1,,,,,,
42421889,42432191,0,24264114,Christopher Street,residential,25 mph,True,False,41.444,"LINESTRING (-73.9991816 40.7341463, -73.9993555 40.7341292, -73.9995275 40.7340938, -73.9996618 40.7340688)",,,,,,,
42421889,42430241,0,451905565,6th Avenue,secondary,25 mph,True,False,81.11999999999999,"LINESTRING (-73.9991816 40.7341463, -73.9991288 40.7342185, -73.998787 40.7346839, -73.9987633 40.7347164, -73.998714 40.734784)",4,,,,,,
42421889,42430237,0,127693102,6th Avenue,secondary,25 mph,True,False,60.93599999999999,"LINESTRING (-73.9995234 40.7336634, -73.9994523 40.7337621, -73.9992263 40.7340788, -73.9991816 40.7341463)",4,,,,,,
42422258,42430589,0,"[5669945, 989267823]",11th Avenue,secondary,25 mph,True,False,85.68100000000001,"LINESTRING (-74.00742 40.748197, -74.0073407 40.7483007, -74.0072425 40.7484224, -74.0070252 40.7487236, -74.0070121 40.7487664, -74.0070034 40.7488871)","['1', '2']",,,,,,
42422258,42434285,0,5670247,West 22nd Street,unclassified,25 mph,True,False,267.179,"LINESTRING (-74.004653 40.747023, -74.0047752 40.7470805, -74.0048025 40.7470933, -74.0073526 40.7481706, -74.00742 40.748197)",1,,,,,,
42422258,246579597,0,22904053,11th Avenue,secondary,25 mph,True,False,44.791,"LINESTRING (-74.0076712 40.747842, -74.0074478 40.7481547, -74.00742 40.748197)",1,,,,,,
42422509,42457925,0,46201644,FDR Drive,primary,25 mph,True,False,97.88799999999999,"LINESTRING (-73.9736517 40.7381466, -73.9733751 40.7385276, -73.9733083 40.7386248, -73.9732454 40.7387253, -73.9731767 40.7388427, -73.9731277 40.7389315)",2,,,,,,
42422509,370913758,0,5669077,,motorway_link,,True,False,104.814,"LINESTRING (-73.9743448 40.7373672, -73.9741962 40.7374929, -73.9741091 40.737577, -73.9738013 40.737975, -73.9736517 40.7381466)",1,,,,,,
42422509,589100267,0,194926841,FDR Drive,primary,25 mph,True,False,262.187,"LINESTRING (-73.974805 40.7359893, -73.9747964 40.7360909, -73.9747811 40.736224, -73.9747629 40.7363318, -73.974742 40.7364311, -73.9747077 40.7365456, -73.974668 40.7366486, -73.974615 40.7367649, -73.9745683 40.7368589, -73.9745224 40.7369472, -73.9744604 40.737045, -73.9743255 40.7372204, -73.9741723 40.7374032, -73.9737632 40.73796, -73.9736517 40.7381466)",1,,,,,,
42422899,42454010,0,"[955205137, 368938762]",1st Avenue,primary,25 mph,True,False,77.79799999999999,"LINESTRING (-73.9721236 40.7456883, -73.972073 40.7457552, -73.9718419 40.7460717, -73.9717216 40.7462397, -73.9716752 40.7462999)","['4', '3']",,,,,,
42422899,42449689,0,"[368938760, 1090370025, 664660185]",East 37th Street,secondary,25 mph,True,False,146.966,"LINESTRING (-73.9721236 40.7456883, -73.9722689 40.7457466, -73.9723588 40.7457859, -73.9726558 40.7459128, -73.9729287 40.7460254, -73.9734023 40.7462274, -73.9734534 40.7462476, -73.9736535 40.746323)","['4', '3']",,,,,,
42422899,42455915,0,"[954929768, 420872177]",1st Avenue,primary,25 mph,True,False,78.57400000000001,"LINESTRING (-73.9725748 40.7450699, -73.9725239 40.7451372, -73.9722711 40.7454815, -73.9722576 40.7454993, -73.9721696 40.745622, -73.9721236 40.7456883)","['4', '5']",,,,,,
42422899,6176628861,0,"[1185734601, 5671719]",East 37th Street,secondary,25 mph,True,False,115.259,"LINESTRING (-73.9709232 40.745191, -73.9709733 40.7452116, -73.9712874 40.7453403, -73.9715503 40.74545, -73.9719966 40.745634, -73.9721236 40.7456883)",1,,,,,,
42423020,9987259802,0,46334595,East 36th Street,secondary,25 mph,True,False,9.4,"LINESTRING (-73.9749735 40.7460881, -73.9748726 40.746052)",2,,,,,,
42423020,42434965,0,"[1020832418, 421852618, 420872183]",2nd Avenue,primary,25 mph,True,False,78.925,"LINESTRING (-73.9749735 40.7460881, -73.9750213 40.7460188, -73.9751617 40.7458154, -73.9752741 40.7456526, -73.9753609 40.7455267, -73.9754076 40.7454591)","['5', '6']",,,,,,
42423020,42442918,0,"[457948936, 46469729, 157014137]",2nd Avenue,primary,25 mph,True,False,77.563,"LINESTRING (-73.9745073 40.7466882, -73.9745672 40.7466308, -73.9746502 40.7465375, -73.9747452 40.7464067, -73.9748878 40.7462049, -73.9749168 40.7461625, -73.9749735 40.7460881)",4,yes,,,,,
42423020,42449932,0,"[46469722, 421852619, 46469718, 46469719]",East 36th Street,secondary,25 mph,True,False,213.42600000000002,"LINESTRING (-73.9771912 40.7470157, -73.9770563 40.7469591, -73.9763872 40.7466781, -73.9762151 40.7466055, -73.9757647 40.7464138, -73.9755178 40.7463097, -73.9750812 40.7461268, -73.9749735 40.7460881)",4,yes,,,,,
42423039,42450820,0,958188025,FDR Drive,motorway,40 mph,True,False,71.337,"LINESTRING (-73.9757407 40.7163982, -73.9760506 40.7158012)",4,,FDR,,,,
42423039,42423549,0,"[432550169, 32936738, 32936739]",FDR Drive,motorway,40 mph,True,False,530.577,"LINESTRING (-73.9747151 40.721087, -73.974961 40.7190695, -73.9750115 40.7186703, -73.9750434 40.7184896, -73.9750795 40.71829, -73.9751269 40.718077, -73.9751825 40.7178593, -73.9752401 40.7176466, -73.9753055 40.7174395, -73.9753802 40.7172304, -73.9754591 40.7170266, -73.9755435 40.7168165, -73.9756384 40.7166107, -73.9757407 40.7163982)",3,,FDR,yes,,,
42423039,42430973,0,32936733,,motorway_link,40 mph,True,False,161.204,"LINESTRING (-73.9753161 40.7178087, -73.9753453 40.7176412, -73.9754359 40.717345, -73.9755168 40.7171213, -73.9755977 40.7169201, -73.9756754 40.7167288, -73.9757407 40.7163982)",1,,,,,,
42423051,42454391,0,420629945,East Houston Street,primary,25 mph,True,False,29.703,"LINESTRING (-73.9748036 40.718847, -73.9748233 40.7188784, -73.9748426 40.718903, -73.9748736 40.7189271, -73.9749074 40.7189459, -73.9749419 40.7189595, -73.974985 40.7189708, -73.9750178 40.7189757, -73.9750822 40.7189791)",2,,,,,,
42423051,370894980,0,"[959041299, 46629371, 1080978589]",,motorway_link,40 mph,True,False,274.357,"LINESTRING (-73.9748036 40.718847, -73.9747804 40.7188758, -73.9747618 40.7189052, -73.9747405 40.7189427, -73.9747312 40.7189654, -73.9747214 40.7190038, -73.9747136 40.7190521, -73.9746195 40.7198617, -73.9745682 40.7204342, -73.974557 40.7205427, -73.9745509 40.7206536, -73.9745478 40.7210037, -73.9745541 40.7212958)","['1', '2']",,,,,,
42423051,42457401,0,421830414,East Houston Street,primary,25 mph,True,False,28.116,"LINESTRING (-73.9751131 40.7187961, -73.9750547 40.7187894, -73.9750189 40.7187868, -73.974972 40.7187862, -73.9749316 40.7187892, -73.974898 40.7187961, -73.9748574 40.7188137, -73.9748297 40.7188299, -73.9748036 40.718847)",2,,,,,,
42423051,370892861,0,"[1036099866, 5671866, 1036099867, 1080978588, 959126527]",,motorway_link,,True,False,423.49999999999994,"LINESTRING (-73.9761957 40.7152339, -73.9759988 40.7155432, -73.9753881 40.7167468, -73.9750875 40.7173399, -73.9750423 40.71743, -73.9750013 40.7175266, -73.9749585 40.7176401, -73.9749174 40.7177615, -73.97489 40.7178538, -73.9748663 40.7179432, -73.9748503 40.7180132, -73.9748322 40.7181223, -73.9748179 40.7182293, -73.9747924 40.718429, -73.9747686 40.7186151, -73.9747641 40.7186618, -73.974763 40.7187021, -73.9747644 40.7187402, -73.9747656 40.7187615, -73.974772 40.7187857, -73.974785 40.7188145, -73.9748036 40.718847)","['1', '2']",,,,,,
42423295,9906966855,0,1080873866,FDR Drive,primary,25 mph,True,False,21.108,"LINESTRING (-73.9775923 40.7132542, -73.9776047 40.7130646)",1,,,,,,
42423295,42437786,0,"[1188964152, 194923769, 1188954618, 1080978587]",Grand Street,primary,25 mph,False,False,176.224,"LINESTRING (-73.979532 40.7138456, -73.979194 40.7137425, -73.9784925 40.7135321, -73.9782576 40.7134578, -73.9780496 40.713392, -73.9778682 40.7133365, -73.9776678 40.7132751, -73.9775923 40.7132542)",2,,,,,,
42423295,42424641,0,125527383,FDR Drive,residential,25 mph,True,False,164.293,"LINESTRING (-73.9768477 40.7146195, -73.9770173 40.7142933, -73.9772482 40.7138836, -73.9774174 40.7135702, -73.9775238 40.7133869, -73.9775923 40.7132542)",1,,,,,,
42423295,589101921,0,1080873865,,motorway_link,,True,False,15.798000000000002,"LINESTRING (-73.9774417 40.7133306, -73.9774663 40.713306, -73.9774949 40.713287, -73.9775195 40.713273, -73.9775505 40.71326, -73.9775923 40.7132542)",1,,,,,,
42423456,4602414021,0,421832644,Varick Street,primary,25 mph,True,False,3.421,"LINESTRING (-74.006113 40.7237914, -74.0061172 40.7237608)",4,,,,,,
42423456,42423514,0,"[954310592, 5669205]",,motorway_link,25 mph,True,False,116.861,"LINESTRING (-74.006113 40.7237914, -74.0062086 40.7238214, -74.006236 40.7238285, -74.0063345 40.7238605, -74.0064171 40.7238895, -74.0064737 40.723915, -74.0065517 40.7239532, -74.0066205 40.7239903, -74.006655 40.7240118, -74.0066726 40.7240228, -74.0067141 40.7240513, -74.00672 40.7240553, -74.0067766 40.7240993, -74.0068225 40.7241411, -74.0068913 40.7242106, -74.0069219 40.7242489, -74.0069525 40.7242941, -74.0069755 40.7243358, -74.0069877 40.7243799, -74.007029 40.724504)","['1', '2']",,,,,,
42423456,42424864,0,46139033,Varick Street,primary,25 mph,True,False,72.661,"LINESTRING (-74.0059302 40.7244132, -74.005951 40.724304, -74.0060363 40.7238556, -74.0060397 40.7238386, -74.006113 40.7237914)",2,,,,,,
42423456,42430143,0,256902825,Watts Street,primary,25 mph,True,False,113.575,"LINESTRING (-74.004786 40.723625, -74.0049306 40.7236392, -74.0059682 40.7237528, -74.0060099 40.7237622, -74.006113 40.7237914)",4,,,,,,
42423456,4616536348,0,466956272,Varick Street,unclassified,25 mph,True,False,70.966,"LINESTRING (-74.006055 40.7244231, -74.0060445 40.7243487, -74.0060385 40.7243131, -74.0061251 40.7238756, -74.0061272 40.7238653, -74.006113 40.7237914)",1,,,,,,
42423514,42424630,0,954496239,,motorway_link,25 mph,True,False,12.466,"LINESTRING (-74.007029 40.724504, -74.0070994 40.7244054)",1,,,,,,
42423514,4616536348,0,5669348,,motorway_link,25 mph,True,False,102.199,"LINESTRING (-74.006055 40.7244231, -74.0061389 40.7243558, -74.0062121 40.7243127, -74.0062702 40.7242814, -74.0063161 40.7242616, -74.0063605 40.7242489, -74.0064094 40.7242396, -74.0064599 40.724235, -74.0065242 40.7242338, -74.0065792 40.7242338, -74.0066297 40.7242361, -74.0066817 40.7242466, -74.0067338 40.7242593, -74.0067689 40.7242732, -74.0068133 40.724293, -74.0068393 40.7243057, -74.0068745 40.7243301, -74.0069051 40.724359, -74.0069326 40.7243892, -74.007029 40.724504)",,,,,,,
42423549,42451712,0,32935868,,motorway_link,,True,False,114.753,"LINESTRING (-73.9747151 40.721087, -73.9748411 40.7207815, -73.9748709 40.7206111, -73.9748889 40.7204723, -73.9749086 40.7203156, -73.9749559 40.7200751)",1,,,,,,
