index,osmid,y,x,street_count,highway,ref,geometry
0,42421828,40.725326,-73.976212,3,,,POINT (-73.976212 40.725326)
1,42421877,40.7328569,-73.9959291,4,traffic_signals,,POINT (-73.9959291 40.7328569)
2,42421889,40.7341463,-73.9991816,4,traffic_signals,,POINT (-73.9991816 40.7341463)
3,42422258,40.748197,-74.00742,3,traffic_signals,,POINT (-74.00742 40.748197)
4,42422509,40.7381466,-73.9736517,3,,,POINT (-73.9736517 40.7381466)
5,42422899,40.7456883,-73.9721236,4,traffic_signals,,POINT (-73.9721236 40.7456883)
6,42423020,40.7460881,-73.9749735,4,traffic_signals,,POINT (-73.9749735 40.7460881)
7,42423039,40.7163982,-73.9757407,3,,,POINT (-73.9757407 40.7163982)
8,42423051,40.718847,-73.9748036,4,traffic_signals,,POINT (-73.9748036 40.718847)
9,42423295,40.7132542,-73.9775923,4,traffic_signals,,POINT (-73.9775923 40.7132542)
10,42423456,40.7237914,-74.006113,5,traffic_signals,,POINT (-74.006113 40.7237914)
11,42423514,40.724504,-74.007029,4,,,POINT (-74.007029 40.724504)
12,42423549,40.721087,-73.9747151,3,motorway_junction,5,POINT (-73.9747151 40.721087)
13,42423774,40.738339,-73.9738156,3,,,POINT (-73.9738156 40.738339)
14,42424258,40.7217241,-74.0067668,3,motorway_junction,1,POINT (-74.0067668 40.7217241)
15,42424334,40.7211998,-74.0079995,3,motorway_junction,2,POINT (-74.0079995 40.7211998)
16,42424347,40.7209099,-74.0078146,3,motorway_junction,3,POINT (-74.0078146 40.7209099)
17,42424354,40.7208183,-74.0075453,3,motorway_junction,4,POINT (-74.0075453 40.7208183)
18,42424408,40.7219848,-74.0082309,4,traffic_signals,,POINT (-74.0082309 40.7219848)
19,42424610,40.7206456,-74.008466,5,traffic_signals,,POINT (-74.008466 40.7206456)
20,42424619,40.7237633,-74.007929,5,traffic_signals,,POINT (-74.007929 40.7237633)
21,42424630,40.7244054,-74.0070994,3,,,POINT (-74.0070994 40.7244054)
22,42424641,40.7146195,-73.9768477,3,stop,,POINT (-73.9768477 40.7146195)
23,42424864,40.7244132,-74.0059302,3,traffic_signals,,POINT (-74.0059302 40.7244132)
24,42425100,40.715649,-73.977917,3,,,POINT (-73.977917 40.715649)
