VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,total_amount
1,2015-01-01 18:00:00,2015-01-01 18:04:16,1,0.7,-73.96540069580078,40.77450942993164,1,N,-73.97196960449219,40.76573944091797,2,5.0,0.0,0.5,0.0,0.0,5.8
1,2015-01-01 18:00:00,2015-01-01 18:11:27,1,1.6,-73.99464416503906,40.75029754638672,1,N,-73.97730255126955,40.762691497802734,1,9.0,0.0,0.5,1.95,0.0,11.75
1,2015-01-01 18:00:00,2015-01-01 18:03:01,1,0.8,-73.99501037597656,40.75985336303711,1,N,-73.984130859375,40.760078430175774,2,4.5,0.0,0.5,0.0,0.0,5.3
2,2015-01-01 18:00:00,2015-01-01 18:06:21,1,1.4,-73.95250701904298,40.77234649658203,1,N,-73.95740509033203,40.78593444824219,1,7.0,0.0,0.5,0.7,0.0,8.5
2,2015-01-01 18:00:00,2015-01-01 18:14:01,5,1.83,-73.9909896850586,40.74982833862305,1,N,-73.97512054443358,40.76208877563477,1,10.0,0.0,0.5,2.5,0.0,13.3
2,2015-01-01 18:00:00,2015-01-01 18:19:13,2,5.01,-73.99810028076173,40.724525451660156,1,N,-73.9818801879883,40.77529525756836,2,18.5,1.0,0.5,0.0,0.0,20.3
1,2015-01-01 18:00:01,2015-01-01 18:13:06,1,2.0,-73.99000549316406,40.734657287597656,1,N,-73.98146057128906,40.75811767578125,2,10.5,0.0,0.5,0.0,0.0,11.3
2,2015-01-01 18:00:01,2015-01-01 18:03:46,1,0.59,-73.96125030517578,40.80725860595703,1,N,-73.96855926513672,40.80418014526367,1,4.5,0.0,0.5,0.9,0.0,6.2
1,2015-01-01 18:00:01,2015-01-01 18:08:42,1,1.5,-73.9598617553711,40.77390670776367,1,N,-73.97696685791014,40.76408767700195,1,8.0,0.0,0.5,1.0,0.0,9.8
1,2015-01-01 18:00:01,2015-01-01 18:09:06,1,0.8,-73.97388458251955,40.762794494628906,1,N,-73.98426818847656,40.761966705322266,2,7.0,0.0,0.5,0.0,0.0,7.8
1,2015-01-01 18:00:01,2015-01-01 18:05:01,1,0.6,-73.99732208251955,40.71929931640625,1,N,-73.99707794189453,40.72506713867188,2,5.0,0.0,0.5,0.0,0.0,5.8
1,2015-01-01 18:00:01,2015-01-01 18:23:24,2,10.3,-73.86309814453125,40.76932907104492,1,N,-73.9988021850586,40.7422103881836,1,29.2,0.0,0.5,7.06,5.33,42.39
1,2015-01-01 18:00:02,2015-01-01 18:11:43,1,1.6,-74.00875091552734,40.71124649047852,1,N,-73.99329376220702,40.7198600769043,2,9.0,0.0,0.5,0.0,0.0,9.8
1,2015-01-01 18:00:02,2015-01-01 18:17:49,1,5.0,-74.00662994384766,40.733009338378906,1,N,-73.97161865234375,40.78809356689453,1,18.5,0.0,0.5,3.85,0.0,23.15
2,2015-01-01 18:00:02,2015-01-01 18:02:45,1,0.53,-73.98474884033203,40.7503318786621,1,N,-73.98806762695312,40.74346160888672,1,4.0,0.0,0.5,1.0,0.0,5.8
1,2015-01-01 18:00:02,2015-01-01 18:23:54,1,1.9,-73.96327209472656,40.774238586425774,1,N,-73.98350524902342,40.761390686035156,1,16.0,0.0,0.5,3.0,0.0,19.8
